driverId,name,ssn,location,certified,wage-plan
10,Brianna Kerr,161-77-9374,"1153 Katherine Manor
West Marioshire, NH 86169",N,hours
11,Steven Cooper,738-21-0136,"05798 Turner Hill
Lisamouth, IN 29961",N,miles
12,Rachel Davis,732-54-7414,"4896 Keith Path Suite 060
Morganstad, MD 92205",N,hours
13,Tyler Scott,128-18-1635,"235 Rivera Fords Suite 858
South Tylerfurt, VA 31736",Y,miles
14,Wesley Miller,481-49-6983,"PSC 6143, Box 5266
APO AP 20350",N,miles
15,Anna Fisher,714-59-1602,"PSC 6764, Box 2946
APO AA 50950",Y,hours
16,Terry Carpenter,363-70-7432,"5256 Sarah Via
West Isaiahville, MS 82422",N,hours
17,Michael Nelson,728-95-7821,"45001 Freeman Creek Apt. 877
Davidbury, FL 68467",N,hours
18,Alexander Harrison,134-20-6114,"777 Washington Club Suite 019
Terryburgh, OH 43452",N,miles
19,David Smith,307-97-3568,"937 Sherri Falls
East Tammy, FM 94324",N,miles
20,Matthew Henry,444-40-7285,"9844 Williams Curve
Phillipsfort, PA 74069",Y,hours
21,Carol Smith,411-36-2513,"00258 Christopher Lakes Suite 698
Port Jefferyberg, IA 74076",N,miles
22,Brian Jordan,113-80-5321,"1311 Ayers Rapid Apt. 199
North Danielle, MN 04815",Y,miles
23,Linda Adkins,046-53-5869,"7705 Allen Forge Apt. 935
Vasqueztown, ME 44056",N,miles
24,Gabriel Acosta,840-91-4423,"854 Higgins Shoals Suite 190
West Jacobmouth, MN 42862",Y,hours
25,Patrick Miller,031-16-8144,"424 Salazar Squares
Marcusside, LA 02162",Y,miles
26,Timothy Brown,483-82-6117,"USCGC Calderon
FPO AP 90786",N,hours
27,James Russell,212-55-0621,"610 Shelby Falls
Port Carlos, VI 60012",Y,hours
28,Ronald Brock,025-97-1217,"803 Lisa Plaza Suite 815
Port Catherinestad, OH 41291",Y,hours
29,Sharon Castillo,544-65-2493,"634 Johnson Views Apt. 866
North John, NM 64917",Y,miles
30,David Gomez,008-51-7989,"15821 Carlos Passage
Aaronfurt, SD 38934",N,hours
31,Gloria Fisher,681-60-6264,"437 Price Ports
Brownfort, UT 26231",N,miles
32,Wayne Johnson,363-03-5162,"553 Soto Branch Suite 081
Angelaland, MO 52026",Y,miles
33,Christine Jenkins,765-38-3256,"056 Parker Mill Suite 779
South Erica, WY 36826",N,miles
34,Samantha Matthews,036-09-2932,"59290 Vanessa Valleys Suite 862
Millerview, NM 95305",N,hours
35,Linda Powell,423-25-2070,"4073 Russell Flat
Lake Johnland, FL 22898",N,hours
36,George Andersen,309-57-9306,"6712 Barrett Islands
Ramireztown, MA 96523",Y,miles
37,Brian Love,287-16-0579,"68686 Barron Curve
Peterschester, IA 64023",N,miles
38,Candice Drake,509-77-6308,"72585 Alvarez Forge
Joefurt, WV 91554",Y,miles
39,Craig Daniels,051-60-8498,"941 Hood Gateway Suite 250
Blanchardland, KY 15603",Y,miles
40,Lindsay Foster,168-28-5160,"8360 Evans Land
West Jeremyborough, FL 50391",N,hours
41,Brittany Murray,767-90-1696,"793 Mark Stravenue
Port Jessicashire, MI 08050",Y,miles
